landmark,count,mean_signed_x_error_mm,mean_signed_y_error_mm,mean_signed_z_error_mm,mean_absolute_x_error_mm,mean_absolute_y_error_mm,mean_absolute_z_error_mm
Landmark 1,3,-24.301340333333332,7.500809666666668,1.6183933333333334,24.301340333333332,23.279960333333335,2.8287433333333336
Landmark 2,6,75.00292283333333,-34.499615,2.3971879999999994,75.00292283333333,44.27125533333333,4.567958333333333
Landmark 3,2,-69.563221,16.960511500000003,-3.9413479999999996,69.563221,34.7729395,3.9413479999999996
Landmark 4,6,-5.564632,33.176802333333335,1.9076201666666657,22.244468666666666,40.43681566666667,7.881766499999999
