epoch,training_loss,training_classification_loss,training_regression_loss,validation_loss,validation_classification_loss,validation_regression_loss
51,0.10242968859771888,0.06866901106615034,0.03376067760917875,0.1984852763513724,0.0770816938796391,0.12140358053147793
52,0.05038665317826801,0.016405825037509203,0.03398082736465666,0.21290183796857795,0.10895630102216576,0.10394553157190482
53,0.022984078464408714,0.006526331210301982,0.01645774735758702,0.23311937864248952,0.1128234993472385,0.12029587974150975
54,0.05221102707501915,0.026154521878601775,0.02605650584316916,0.24536234714711705,0.12076665886949438,0.1245956877246499
55,0.07274086856179768,0.0461281159789198,0.02661275366942088,0.2794372473532955,0.16867221892850162,0.11076502727034192
56,0.03280933392751548,0.014095494691799913,0.018713839766052034,0.29117545516540605,0.16786731538983682,0.12330815040816863
57,0.030678868448982637,0.013499168097041547,0.01717970044248634,0.23122270125895739,0.11776490059370796,0.11345780144135158
58,0.02560200086898274,0.009250320520045029,0.01635168047828807,0.22807623787472645,0.12238900347923239,0.10568723548203707
59,0.019783963449299335,0.006520271592307836,0.013263691682368517,0.21284371133272847,0.09312279925992091,0.11972091160714626
60,0.026982434404393036,0.010810341220349073,0.016172092821862962,0.17726918744544187,0.0746968355961144,0.10257235122844577
61,0.03371181608074241,0.014928184346192412,0.018783631682809856,0.2203487136090795,0.10337894134378682,0.11696976485351722
62,0.03053043306701713,0.009789575829118904,0.020740857658286888,0.2229588528474172,0.1136238689456756,0.1093349816898505
63,0.017468538135290146,0.0075232242492751945,0.009945313937755095,0.2032709727063775,0.09368979333279033,0.1095811774333318
64,0.014693899907999568,0.004631037888531055,0.010062861877183119,0.19627013499848545,0.09173142358971138,0.10453871752057846
65,0.1260006045922637,0.09954982306549533,0.026450780737731192,0.2851739729133745,0.17371284845285118,0.11146112620675315
66,0.030891609999040764,0.014700521876673318,0.016191087818394106,0.3386695363248388,0.22617006410534182,0.11249947612911153
67,0.023110568730367556,0.009292132854979072,0.013818435629622804,0.33024896231169504,0.22169147334837666,0.1085574789904058
68,0.3020045851978163,0.24920681415177467,0.05279778063090311,0.2790246771958967,0.17398170909533897,0.10504296406482656
69,0.025110185456772644,0.011408592496688167,0.013701592882474264,0.2326725359695653,0.1227939729578793,0.10987856549521287
70,0.016577791940006945,0.004076888396715124,0.012500903517421749,0.2675685764600833,0.153636675948898,0.11393189802765846
71,0.02971689051224126,0.010919935846080383,0.018796954303979874,0.30751700264712173,0.19365418958477676,0.11386282012487452
72,0.022135470165974565,0.010109948770453533,0.012025521447261175,0.283738998696208,0.177211341370518,0.10652765957638621
