epoch,training_loss,training_classification_loss,training_regression_loss,validation_loss,validation_classification_loss,validation_regression_loss
1,1.8873978389634027,1.4035508963796828,0.48384693927235073,1.0341634154319763,0.6640501519044241,0.3701132635275523
2,0.8620710770289103,0.5781392074293561,0.2839318455921279,0.7534115463495255,0.48952153821786243,0.26388999819755554
3,0.686741958061854,0.45044264445702237,0.23629931774404314,0.5170601904392242,0.2853472114851077,0.23171297709147134
4,0.4652320279015435,0.2891784699426757,0.17605356292592156,0.4229998129109542,0.21658249416699013,0.20641730725765228
5,0.44989974631203544,0.2823001994854874,0.1675995464126269,0.4726485200226307,0.28045868780463934,0.19218983625372252
6,0.47640570170349544,0.33176295252309906,0.14464274876647526,0.5327079395453135,0.3787156520411372,0.1539923002322515
7,0.6530589908361435,0.46121542900800705,0.1918435585167673,0.38414113720258075,0.2327110692858696,0.1514300654331843
8,0.27620069848166573,0.1456857058737013,0.13051499374624756,0.31067244956890744,0.1524510458111763,0.1582213963071505
9,0.38996925039423835,0.25235622252027196,0.13761302414867613,0.34721482420961064,0.18769603905578455,0.15951878018677235
10,0.2078820135858324,0.09783863690164354,0.11004337523546484,0.3761598023896416,0.23913440046211085,0.13702539509783188
11,0.30011531958977383,0.21068659497218,0.08942872410019238,0.2963677340497573,0.17121559350440899,0.12515214427063862
12,0.28805230433742207,0.18625083736454448,0.10180147095686859,0.30801816284656525,0.1478956857075294,0.16012247589727244
13,0.15749406980143654,0.06284574709004825,0.09464832271138827,0.3105384757121404,0.13313073789079985,0.17740774403015772
14,0.1437084898352623,0.04222979712196522,0.10147869173023435,0.3271436169743538,0.17990007911187908,0.14724353949228922
15,0.0803826939728525,0.026062739081680775,0.05431995458073086,0.35337037841478985,0.22135659648726383,0.132013784100612
16,0.12868781687898767,0.07232179989417394,0.05636601708829403,0.38923690654337406,0.25078543880954385,0.13845147006213665
17,0.08889155255423652,0.02346253777957625,0.06542901487814055,0.35063483255604905,0.21366651038018367,0.13696831464767456
18,0.18336992214123407,0.07444343550337686,0.10892648374040921,0.2899058299760024,0.1759516466408968,0.11395419187222917
19,0.07789007698496182,0.018107208526796766,0.059782869906889066,0.31883127832164365,0.18419746418173114,0.1346338166234394
20,0.10140997709499465,0.03127285615644521,0.07013711954156558,0.3945514690130949,0.23905958623314896,0.15549187113841376
21,0.06121647420028845,0.011915304232388735,0.04930116960571872,0.37844541917244595,0.24809396243654191,0.13035145091513792
22,0.11242378047770923,0.049735855466375746,0.06268792723615964,0.3995675276964903,0.25823895051144063,0.14132857198516527
23,0.07802512165572908,0.02329531932870547,0.05472980274094476,0.40951288615663844,0.26869395774944377,0.14081891750295958
24,0.137985540036526,0.07247682280528049,0.06550872056848472,0.43201072327792645,0.2778924179729074,0.15411830320954323
25,0.07031186194055611,0.021579169409556523,0.048732692996660866,0.5063956019779047,0.3271660708123818,0.17922952522834143
26,0.32287193400164443,0.23188735736120078,0.0909845760713021,0.5167767442762852,0.35374245695614565,0.16303430249293646
27,0.06188808516081837,0.020840479345578287,0.041047605271968574,0.38861050953467685,0.2634210819378495,0.12518942651028434
28,0.28606805619266296,0.20456673049678406,0.08150131959054205,0.25722191234429675,0.1340388022363186,0.12318310607224703
29,0.07587387681835228,0.03465090642890169,0.04122297072576152,0.27616550028324127,0.1618565327177445,0.11430896818637848
30,0.42036047246721053,0.33765827398747206,0.08270219816929764,0.3594711112479369,0.24974408621589342,0.10972702332461874
31,0.10083294577068752,0.041061812390883766,0.05977113296588262,0.4645979528625806,0.28323578493048746,0.1813621592397491
32,0.2209563222196367,0.1332931491649813,0.08766317657298511,0.29441698640584946,0.1708973633746306,0.12351963482797146
33,0.05403907886809773,0.02096060337498784,0.03307847533788946,0.1981785607834657,0.06307401678835352,0.13510454539209604
34,0.04653735810683833,0.0134140953887254,0.033123263261384435,0.17107940837740898,0.04123356488222877,0.12984584520260492
35,0.07586536080473,0.03317700336790747,0.04268835764378309,0.1799019773801168,0.0507328601864477,0.1291691189010938
36,0.07100939750671387,0.016769291315641668,0.05424010712239477,0.17380224540829659,0.045894721057266,0.12790752210033438
37,0.04521467681560251,0.011101046732316414,0.03411362961762481,0.2007892900146544,0.07774179413293798,0.12304749541605513
38,0.033727207531531654,0.007805466548436218,0.025921741060705647,0.22045351720104614,0.09161733455645542,0.12883618101477623
39,0.03696424927976397,0.0072367087187659405,0.029727539668480556,0.1802449089785417,0.06233191637632748,0.11791299582303812
40,0.2485879450622532,0.2018270610521237,0.046760880595280066,0.23464752857883772,0.10590637211377422,0.12874115879336992
41,0.1174590293214553,0.08609159783615421,0.03136743056691355,0.22242068716635308,0.09479323875469466,0.12762744103868803
42,0.2722112483655413,0.22943009983282536,0.04278114903718233,0.29794870580856997,0.17786514778466275,0.12008356178800265
43,0.07674372320373853,0.044804807842916086,0.03193891542549762,0.23555362100402513,0.10569559130817652,0.12985802837647498
44,0.24890955206420687,0.18796073849726883,0.0609488177837597,0.21049312750498453,0.07656622693563502,0.13392689575751623
45,0.29076087723175686,0.2338567870772547,0.05690408777445555,0.25019749999046326,0.11468991016348203,0.13550759479403496
46,0.08860336202714178,0.05267871326456467,0.03592464803821511,0.2531041403611501,0.10943547496572137,0.14366866586109003
47,0.11059250744680564,0.064841919268171,0.045750591076082654,0.1598800073067347,0.04640747265269359,0.11347253837933143
48,0.1402084550095929,0.09826275271673997,0.04194570187893179,0.19963073109587035,0.06869882096846898,0.13093191230048737
49,0.06095761826468839,0.03326818628961013,0.0276894329322709,0.1918993778526783,0.07936225559872885,0.11253712822993596
50,0.06578347728484207,0.025943959235317178,0.03983951856692632,0.2268289358665546,0.10459286471207936,0.12223606991271178
