epoch,training_loss,training_classification_loss,training_regression_loss,training_accuracy,validation_loss,validation_accuracy,validation_classification_loss,validation_regression_loss
1,3.2224760616526886,1.4134739567251766,1.809002076878267,35.294117647058826,2623.892035590278,22.22222222222222,104.606689453125,2519.2853732638887
2,2.4851765211890724,1.5114364624023438,0.9737400763175067,38.23529411764706,1665.158420138889,44.44444444444444,48.444185507794224,1616.7142198350693
3,1.724740273812238,0.8104623240583083,0.914277921704685,73.52941176470588,152.75743103027344,22.22222222222222,21.422470092773438,131.33496263292102
4,1.3556145289364983,0.7171870540170109,0.6384274749194875,67.6470588235294,9.392682022518581,44.44444444444444,3.3148620347492397,6.077820036146376
5,1.0455549955368042,0.4784807001843172,0.5670743058709538,76.47058823529412,2.8059963484605155,55.55555555555556,1.3353049953778584,1.4706913431485493
6,0.9507981538772583,0.4048038423061371,0.5459943028057322,85.29411764705883,0.6489209731419882,100.0,0.07593661934758227,0.5729843576749166
7,1.2230777249616736,0.6052525148672216,0.6178251960698296,85.29411764705883,0.9086405899789598,88.88888888888889,0.15457432551516426,0.7540662487347921
8,0.9434176753549015,0.3635801160160233,0.5798375746783089,82.3529411764706,2.364936398135291,66.66666666666667,1.4451045907206006,0.9198318620522817
9,0.5751381972256828,0.1814671912614037,0.39367101122351256,94.11764705882354,3.1081884106000266,55.55555555555556,2.085960204816527,1.0222282078531053
10,0.4993632435798645,0.204271979191724,0.2950912652646794,91.17647058823529,2.7519454012314477,66.66666666666667,2.02258492136995,0.7293604537844658
11,0.5678783238810652,0.19040949642658234,0.3774688169360161,94.11764705882354,1.3091606696446736,77.77777777777777,0.9017675055397881,0.4073931641048855
12,1.0269390958196976,0.5142397376544335,0.5126993515912224,79.41176470588235,3.6429717474513583,66.66666666666667,2.577273398430811,1.0656983421908484
13,0.9674742397140054,0.4329130281420315,0.5345612098188961,85.29411764705883,11.962864955266317,66.66666666666667,7.938634571101931,4.024230672253503
14,0.5482140218510347,0.18207196277730606,0.3661420555675731,94.11764705882354,14.404482947455513,55.55555555555556,9.999999178780449,4.404483530256483
15,1.0237695259206436,0.5384744230438682,0.4852950984940809,85.29411764705883,1.5308403505219355,66.66666666666667,0.817294331577917,0.7135459780693054
16,0.7330719302682316,0.3462626114487648,0.3868093385415919,85.29411764705883,0.5582555532455444,100.0,0.22683033843835196,0.33142521646287704
17,0.6455694314311532,0.2795644608490607,0.36600496663766746,94.11764705882354,0.5993296040429009,77.77777777777777,0.25717224915408426,0.34215734899044037
18,0.40907406105714683,0.15895040201790192,0.2501236568478977,94.11764705882354,0.6108645300070444,88.88888888888889,0.20932544436719683,0.4015391121308009
19,0.5835628062486649,0.18409778161303086,0.39946502622436075,97.05882352941177,0.666296494503816,88.88888888888889,0.3115646754288011,0.3547317898935742
20,0.2668388323748813,0.0450909332755734,0.22174789778449955,100.0,0.5236806169980102,88.88888888888889,0.2565750628709793,0.2671055541270309
